sender,message
sent,"How long before some dodo comes in here and unironically tries to correct the title and call it a magazine?"
received,"This is exactly why the industry has moved towards the more inclusive, progressive term ""clipazine"""
sent,"I'm here."
received,"So, about 20 minutes."
sent,"We were going to go with magiclip but that sounds like something you'd see advertisements for after 4am on a cable channel."
received,"It’s just a Russian bot."
sent,"&gt;So, about 20 minutes. How many is that in metric?"
received,"Seriously though if I were a Russian bot that’d be the perfect cover."
sent,"It's about Двадцать минут"
received,"да I mean, probably correct."
